latitude,longitude,safety_score
28.6139,77.2090,85
28.6210,77.2030,45
28.6180,77.2150,65
28.6100,77.2000,30
28.6300,77.2200,90
19.0760,72.8777,80
19.0800,72.8800,50
19.0700,72.8700,40
19.0900,72.8600,75
12.9716,77.5946,88
12.9800,77.6000,55
12.9600,77.5800,35
13.0827,80.2707,82
13.0900,80.2800,60
13.0700,80.2600,42
22.5726,88.3639,78
22.5800,88.3700,52
22.5600,88.3500,38
17.3850,78.4867,84
17.3900,78.4900,58
17.3700,78.4700,44
23.0225,72.5714,86
23.0300,72.5800,62
23.0100,72.5600,46
18.5204,73.8567,87
18.5300,73.8600,64
18.5100,73.8400,48
28.7041,77.1025,35
28.5355,77.3910,42
12.9141,77.6411,72
12.9352,77.6245,68
19.1176,72.8485,55
19.2183,72.9781,48
13.0489,80.2386,52
13.0067,80.2206,65
17.4483,78.3915,75
17.3616,78.4747,50
22.5186,88.3504,58
22.5726,88.4342,62
