latitude,longitude,crime_rate,lighting,crowd_density,police_distance,safety_score
28.6139,77.2090,7,3,4,2.5,2.1
28.6145,77.2102,6,4,5,2.0,3.0
28.6150,77.2110,5,5,6,1.8,4.2
28.6160,77.2125,3,7,7,1.2,6.8
28.6170,77.2135,2,8,8,1.0,8.2
28.6180,77.2145,8,2,3,3.0,1.5
28.6190,77.2155,6,4,4,2.2,3.3
28.6200,77.2165,4,6,6,1.5,5.9
28.6210,77.2175,3,7,7,1.3,6.9
28.6220,77.2185,2,9,8,0.8,8.9
28.6230,77.2195,9,1,2,3.5,1.0
28.6240,77.2205,7,3,3,2.8,2.2
28.6250,77.2215,5,5,5,2.0,4.5
28.6260,77.2225,4,6,6,1.7,5.8
28.6270,77.2235,3,8,7,1.2,7.5
28.6280,77.2245,2,9,9,0.9,9.1
28.6290,77.2255,6,4,5,2.3,3.6
28.6300,77.2265,5,5,6,2.0,4.8
28.6310,77.2275,4,6,7,1.6,6.2
28.6320,77.2285,3,7,8,1.3,7.3
28.6330,77.2295,8,2,3,3.1,1.8
28.6340,77.2305,7,3,4,2.7,2.5
28.6350,77.2315,6,4,5,2.4,3.7
28.6360,77.2325,5,5,6,2.1,4.9
28.6370,77.2335,4,6,7,1.8,6.1
28.6380,77.2345,3,7,8,1.5,7.4
28.6390,77.2355,2,8,9,1.1,8.6
28.6400,77.2365,9,1,2,3.6,0.9
28.6410,77.2375,8,2,3,3.2,1.7
28.6420,77.2385,7,3,4,2.9,2.6
28.6430,77.2395,6,4,5,2.5,3.8
28.6440,77.2405,5,5,6,2.2,5.0
28.6450,77.2415,4,6,7,1.9,6.3
28.6460,77.2425,3,7,8,1.5,7.6
28.6470,77.2435,2,8,9,1.2,8.8
28.6480,77.2445,6,4,4,2.6,3.4
28.6490,77.2455,5,5,5,2.3,4.6
28.6500,77.2465,4,6,6,2.0,5.9
28.6510,77.2475,3,7,7,1.6,6.8
28.6520,77.2485,2,9,8,1.1,9.0
28.6530,77.2495,8,2,3,3.0,1.6
28.6540,77.2505,7,3,4,2.7,2.4
28.6550,77.2515,6,4,5,2.3,3.5
28.6560,77.2525,5,5,6,2.1,4.7
28.6570,77.2535,4,6,7,1.8,6.0
28.6580,77.2545,3,7,8,1.4,7.2
28.6590,77.2555,2,8,9,1.0,8.5
28.6600,77.2565,9,1,2,3.7,0.8
28.6610,77.2575,8,2,3,3.3,1.5
28.6620,77.2585,7,3,4,3.0,2.3
28.6630,77.2595,6,4,5,2.6,3.6
28.6640,77.2605,5,5,6,2.2,4.8
28.6650,77.2615,4,6,7,1.9,6.1
28.6660,77.2625,3,7,8,1.6,7.3
28.6670,77.2635,2,8,9,1.2,8.7
28.6680,77.2645,6,4,4,2.7,3.2
28.6690,77.2655,5,5,5,2.4,4.4
28.6700,77.2665,4,6,6,2.0,5.7
28.6710,77.2675,3,7,7,1.6,6.9
28.6720,77.2685,2,9,8,1.1,9.2
28.6730,77.2695,8,2,3,3.1,1.4
28.6740,77.2705,7,3,4,2.8,2.2
28.6750,77.2715,6,4,5,2.5,3.3
28.6760,77.2725,5,5,6,2.2,4.6
28.6770,77.2735,4,6,7,1.8,5.9
28.6780,77.2745,3,7,8,1.4,7.1
28.6790,77.2755,2,8,9,1.0,8.4
28.6800,77.2765,9,1,2,3.8,0.7
28.6810,77.2775,8,2,3,3.4,1.3
28.6820,77.2785,7,3,4,3.0,2.1
28.6830,77.2795,6,4,5,2.6,3.4
28.6840,77.2805,5,5,6,2.3,4.7
28.6850,77.2815,4,6,7,1.9,6.0
28.6860,77.2825,3,7,8,1.5,7.2
28.6870,77.2835,2,8,9,1.2,8.6
28.6880,77.2845,6,4,4,2.8,3.1
28.6890,77.2855,5,5,5,2.5,4.3
28.6900,77.2865,4,6,6,2.1,5.6
28.6910,77.2875,3,7,7,1.7,6.8
28.6920,77.2885,2,9,8,1.2,9.1
28.6930,77.2895,8,2,3,3.2,1.2
28.6940,77.2905,7,3,4,2.9,2.0
28.6950,77.2915,6,4,5,2.6,3.2
28.6960,77.2925,5,5,6,2.3,4.5
28.6970,77.2935,4,6,7,1.9,5.8
28.6980,77.2945,3,7,8,1.6,7.0
28.6990,77.2955,2,8,9,1.1,8.3
28.7000,77.2965,9,1,2,3.9,0.6
19.0760,72.8777,12,8,7,1.2,82
19.0896,72.8656,18,6,8,2.0,71
19.0176,72.8562,25,5,9,3.5,60
19.0330,72.8456,8,9,6,1.0,88
19.1136,72.8697,15,7,7,1.8,76
19.2183,72.9781,10,8,5,1.1,85
19.1647,72.8493,20,5,8,2.9,64
19.2048,72.8647,14,7,6,1.7,79
19.1197,72.8464,9,8,7,1.2,84
19.0544,72.8406,13,6,8,2.1,73
19.0178,72.8478,16,7,6,2.4,68
19.1450,72.9370,11,8,5,1.5,81
19.0333,72.8397,22,4,9,3.2,58
19.1733,72.9425,7,9,6,1.0,91
19.0825,72.7411,19,5,7,2.8,66
19.1075,72.8263,12,7,6,1.9,77
19.2180,72.9783,8,9,5,1.1,89
19.1375,72.9151,15,6,7,2.2,72
19.2320,72.8599,17,5,8,2.7,63
19.1190,72.9050,10,8,6,1.4,83
